ID,Rank,Rating,Title,Year,Votes
184,215,8,The Diving Bell and the Butterfly,2007,56714
185,115,8.2,The Elephant Man,1980,93077
186,203,8,The Exorcist,1973,177560
187,121,8.2,The General,1926,29574
188,2,9.2,The Godfather,1972,629220
189,3,9,The Godfather: Part II,1974,403019
190,136,8.2,The Gold Rush,1925,34220
191,5,8.9,"The Good, the Bad and the Ugly",1966,265700
192,187,8.1,The Graduate,1967,124823
193,157,8.1,The Grapes of Wrath,1940,35406
194,68,8.4,The Great Dictator,1940,62991
195,110,8.3,The Great Escape,1963,93580
196,64,8.4,The Green Mile,1999,358123
197,197,8,The Hustler,1961,37142
198,67,8.4,The Intouchables,2011,113002
199,128,8.2,The Kid,1921,27604
200,188,8.1,The Killing,1956,37714
201,156,8.1,The King's Speech,2010,217524
202,80,8.3,The Lion King,1994,285517
203,60,8.4,The Lives of Others,2006,135955
204,13,8.8,The Lord of the Rings: The Fellowship of the Ring,2001,635846
205,9,8.8,The Lord of the Rings: The Return of the King,2003,612170
206,21,8.7,The Lord of the Rings: The Two Towers,2002,548906
207,119,8.2,The Maltese Falcon,1941,70521
208,208,8,The Man Who Shot Liberty Valance,1962,33454
209,196,8,The Manchurian Candidate,1962,47070
210,18,8.7,The Matrix,1999,631604
211,173,8.1,The Night of the Hunter,1955,37893
212,243,8,The Nightmare Before Christmas,1993,135193
213,51,8.4,The Pianist,2002,237067
214,69,8.4,The Prestige,2006,394818
215,191,8,The Princess Bride,1987,176132
216,248,8,The Searchers,1956,41423
217,155,8.1,The Secret in Their Eyes,2009,57476
218,117,8.2,The Seventh Seal,1957,62116
219,1,9.2,The Shawshank Redemption,1994,864053
220,46,8.5,The Shining,1980,308013
221,24,8.6,The Silence of the Lambs,1991,422645
222,142,8.1,The Sixth Sense,1999,393880
223,99,8.3,The Sting,1973,98773
224,170,8.1,The Terminator,1984,310901
225,145,8.1,The Thing,1982,145526
226,73,8.4,The Third Man,1949,70303
227,74,8.4,The Treasure of the Sierra Madre,1948,47457
228,213,8,The Truman Show,1998,309904
229,242,8,The Untouchables,1987,133528
230,26,8.6,The Usual Suspects,1995,405367
231,199,8,The Wild Bunch,1969,44001
232,148,8.1,The Wizard of Oz,1939,158461
233,227,8,The Wrestler,2008,174048
234,175,8.1,There Will Be Blood,2007,208152
235,66,8.4,To Kill a Mockingbird,1962,121827
236,129,8.2,Touch of Evil,1958,45705
237,118,8.2,Toy Story,1995,293065
238,54,8.4,Toy Story 3,2010,252848
239,150,8.1,Trainspotting,1996,252349
240,179,8.1,Twelve Monkeys,1995,264593
241,92,8.3,Unforgiven,1992,158763
242,113,8.3,Up,2009,284435
243,163,8.1,V for Vendetta,2005,411038
244,47,8.5,Vertigo,1958,136350
245,59,8.4,WALLáE,2008,345921
246,152,8.1,Warrior,2011,135691
247,195,8,Who's Afraid of Virginia Woolf?,1966,31673
248,126,8.2,Wild Strawberries,1957,34523
249,102,8.3,Witness for the Prosecution,1957,29319
250,109,8.3,Yojimbo,1961,42736
