imdb_title_id,rank,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0031381,32,Gone with the Wind,Gone with the Wind,1939,1942-09-04,"Drama, History, Romance",238,USA,English,"Victor Fleming, George Cukor","Margaret Mitchell, Sidney Howard",Selznick International Pictures,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,8.1,269664,"$3,977,000","$200,852,579","$402,352,579",97,808,183
tt0054177,33,Le petit soldat,Le petit soldat,1963,1963-01-25,"War, Drama",88,France,French,Jean-Luc Godard,Jean-Luc Godard,Les Productions Georges de Beauregard,"Michel Subor, Anna Karina, Henri-Jacques Huet, Paul Beauvais, László Szabó","During the Algerian War, a man and woman from opposing sides fall in love with one another.",7.3,5405,"$180,000","$24,296","$24,296",97,25,33
tt0069704,34,American Graffiti,American Graffiti,1973,1974-05-31,"Comedy, Drama",110,USA,English,George Lucas,"George Lucas, Gloria Katz",Universal Pictures,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams, Candy Clark, Mackenzie Phillips, Wolfman Jack, Bo Hopkins, Manuel Padilla Jr., Beau Gentry, Harrison Ford, Jim Bohan, Jana Bellan, Deby Celiz",A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,7.4,76383,"$777,000","$115,000,000","$115,000,000",97,281,119
tt0041959,35,The Third Man,The Third Man,1949,1949-10-12,"Film-Noir, Mystery, Thriller",104,UK,"English, German, Russian",Carol Reed,"Graham Greene, Graham Greene",London Film Productions,"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard, Bernard Lee, Paul Hörbiger, Ernst Deutsch, Siegfried Breuer, Erich Ponto, Wilfrid Hyde-White, Hedwig Bleibtreu","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.1,148705,,"$1,067,364","$1,218,713",97,455,240
tt0097937,36,My Left Foot: The Story of Christy Brown,My Left Foot: The Story of Christy Brown,1989,1989-04-07,"Biography, Drama",103,"Ireland, UK",English,Jim Sheridan,"Shane Connaughton, Jim Sheridan",Ferndale Films,"Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan, Declan Croghan, Eanna MacLiam, Marie Conmee, Cyril Cusack, Phelim Drew, Ruth McCabe, Fiona Shaw, Ray McAnally, Pat Laffan, Derry Power, Hugh O'Conor","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",7.9,62554,GBP 600000,"$14,743,391","$14,743,391",97,99,48
tt0057012,37,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1965-05-14,Comedy,95,"UK, USA","English, Russian",Stanley Kubrick,"Stanley Kubrick, Terry Southern",Columbia Pictures,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull, James Earl Jones, Tracy Reed, Jack Creley, Frank Berry, Robert O'Neil, Glenn Beck, Roy Stephens, Shane Rimmer, Hal Galili",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,8.4,423973,"$1,800,000","$9,440,272","$9,443,876",97,899,227
tt0054215,38,Psycho,Psycho,1960,1961-07-07,"Horror, Mystery, Thriller",109,USA,English,Alfred Hitchcock,"Joseph Stefano, Robert Bloch",Shamley Productions,"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",8.5,555227,"$806,947","$32,000,000","$32,000,000",97,1190,231
tt1032846,39,"4 luni, 3 saptamâni si 2 zile","4 luni, 3 saptamâni si 2 zile",2007,2007-09-14,Drama,113,"Romania, Belgium",Romanian,Cristian Mungiu,Cristian Mungiu,Mobra Films,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean, Luminita Gheorghiu, Adi Carauleanu, Liliana Mocanu, Tania Popa, Teodor Corban, Cerasela Iosifescu, Doru Ana, Eugenia Bosânceanu, Ion Sapdaru, Cristina Burbuz, Marioara Sterian",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,7.9,52979,EUR 590000,"$1,198,208","$9,840,338",97,184,198
tt0029843,40,The Adventures of Robin Hood,The Adventures of Robin Hood,1938,1939-01-13,"Action, Adventure, Romance",102,USA,English,"Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller",Warner Bros.,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles, Eugene Pallette, Alan Hale, Melville Cooper, Ian Hunter, Una O'Connor, Herbert Mundin, Montagu Love, Leonard Willey, Robert Noble, Kenneth Hunter","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",7.9,44692,"$1,900,000",,,97,264,104
tt0048021,41,Du rififi chez les hommes,Du rififi chez les hommes,1955,1955-04-13,"Crime, Thriller",118,France,"French, Italian, English",Jules Dassin,"Auguste Le Breton, Jules Dassin",Pathé Consortium Cinéma,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey, Pierre Grasset, Robert Hossein, Marcel Lupovici, Dominique Maurin, Magali Noël, Marie Sabouret, Claude Sylvain, Jules Dassin, Armandel, Alain Bouvette, Alice Garan","Four men plan a technically perfect crime, but the human element intervenes...",8.2,23556,,"$517,975","$521,342",97,123,131
tt0053291,42,Some Like It Hot,Some Like It Hot,1959,1959-08-14,"Comedy, Music, Romance",121,USA,English,Billy Wilder,"Billy Wilder, I.A.L. Diamond",Ashton Productions,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O'Brien, Joe E. Brown, Nehemiah Persoff, Joan Shawlee, Billy Gray, George E. Stone, Dave Barry, Mike Mazurki, Harry Wilson, Beverly Wills, Barbara Drew","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,226563,"$2,883,848",,"$83,169,282",97,396,214
tt0101258,43,Ah fei zing zyun,Ah fei zing zyun,1990,1990-12-15,"Crime, Drama, Romance",94,Hong Kong,"Cantonese, Shanghainese, Tagalog, English, Mandarin",Kar-Wai Wong,"Jeffrey Lau, Kar-Wai Wong",In-Gear Film,"Leslie Cheung, Maggie Cheung, Andy Lau, Carina Lau, Rebecca Pan, Jacky Cheung, Tony Chiu-Wai Leung, Danilo Antunes, Mei-Mei Hung, Ling-Ling Hung, Tita Muñoz, Alicia Alonzo, Elena Lim So, Maritoni Fernandez, Angela Ponos",A man tries to find out who his real mother is after the woman who raised him tells him the truth.,7.6,16141,,"$146,310","$3,101,890",96,43,63
tt4034228,44,Manchester by the Sea,Manchester by the Sea,2016,2017-01-13,Drama,137,USA,English,Kenneth Lonergan,Kenneth Lonergan,Amazon Studios,"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly, Virginia Loring Cooke, Quincy Tyler Bernstine, Missy Yager, Stephen McKinley Henderson, Ben Hanson, Mary Mallen, Lewis D. Wheeler, Anthony Estrella, C.J. Wilson, Susan Pourfar, Robert Sella",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,7.8,221835,"$9,000,000","$47,695,371","$78,988,148",96,720,492
tt6155172,45,Roma,Roma,2018,2018-11-29,Drama,135,Mexico,"Spanish, Mixtec, English, Japanese, German, French, Norwegian",Alfonso Cuarón,Alfonso Cuarón,Esperanto Filmoj,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta, Marco Graf, Daniela Demesa, Nancy García García, Verónica García, Andy Cortés, Fernando Grediaga, Jorge Antonio Guerrero, José Manuel Guerrero Mendoza, Latin Lover, Zarela Lizbeth Chinolla Arellano, José Luis López Gómez",A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,7.8,116797,,,"$1,148,031",96,1044,378
tt0044081,46,A Streetcar Named Desire,A Streetcar Named Desire,1951,1951-12-01,Drama,122,USA,"English, Spanish",Elia Kazan,"Tennessee Williams, Oscar Saul",Charles K. Feldman Group,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden, Rudy Bond, Nick Dennis, Peg Hillias, Wright King, Richard Garrick, Ann Dere, Edna Thomas, Mickey Kuhn",Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,8,93287,"$1,800,000",,"$42,818",96,266,79
